province,phase,period_start,well_milled_price,regular_milled_price
Sultan Kudarat,2nd,2024-01-16,51.50,46.00
Sulu,2nd,2024-01-16,,
Surigao Del Norte,2nd,2024-01-16,51.65,44.00
Surigao Del Sur,2nd,2024-01-16,56.30,55.30
Tarlac,2nd,2024-01-16,56.00,52.50
Tawi-Tawi,2nd,2024-01-16,62.50,57.50
Western Samar,2nd,2024-01-16,57.71,55.67
Zambales,2nd,2024-01-16,70.13,62.69
Zamboanga Del Norte,2nd,2024-01-16,59.00,53.13
Zamboanga Del Sur,2nd,2024-01-16,55.35,52.80
Zamboanga Sibugay,2nd,2024-01-16,56.67,53.67
Abra,1st,2024-02-01,50.84,42.50
Agusan Del Norte,1st,2024-02-01,53.17,47.67
Agusan Del Sur,1st,2024-02-01,54.50,50.50
Aklan,1st,2024-02-01,62.00,44.50
Albay,1st,2024-02-01,55.71,53.63
Antique,1st,2024-02-01,56.00,52.00
Apayao,1st,2024-02-01,58.00,56.00
Aurora,1st,2024-02-01,54.67,53.88
Basilan,1st,2024-02-01,56.73,56.49
Bataan,1st,2024-02-01,67.22,46.60
Batanes,1st,2024-02-01,72.00,
Batangas,1st,2024-02-01,62.13,64.00
Benguet,1st,2024-02-01,51.38,41.00
Biliran,1st,2024-02-01,58.44,55.75
Bohol,1st,2024-02-01,55.40,52.40
Bukidnon,1st,2024-02-01,53.00,45.00
Bulacan,1st,2024-02-01,58.90,51.50
Cagayan,1st,2024-02-01,54.50,46.50
Camarines Norte,1st,2024-02-01,58.00,52.00
Camarines Sur,1st,2024-02-01,54.63,54.32
Camiguin,1st,2024-02-01,58.00,53.88
Capiz,1st,2024-02-01,45.25,41.50
Catanduanes,1st,2024-02-01,56.50,50.30
Cavite,1st,2024-02-01,51.13,47.79
Cebu,1st,2024-02-01,60.08,53.88
City Of Isabela,1st,2024-02-01,59.88,50.60
Davao De Oro,1st,2024-02-01,,53.50
Davao Del Norte,1st,2024-02-01,58.10,47.50
Davao Del Sur,1st,2024-02-01,58.25,56.00
Davao Occidental,1st,2024-02-01,56.17,53.25
Davao Oriental,1st,2024-02-01,56.63,50.25
Dinagat Islands,1st,2024-02-01,58.50,55.25
Eastern Samar,1st,2024-02-01,51.94,51.63
Guimaras,1st,2024-02-01,48.00,45.50
Ifugao,1st,2024-02-01,58.50,51.00
Ilocos Norte,1st,2024-02-01,52.54,50.00
Ilocos Sur,1st,2024-02-01,51.63,46.00
Iloilo,1st,2024-02-01,60.15,35.50
Isabela,1st,2024-02-01,49.34,41.71
Kalinga,1st,2024-02-01,54.00,51.00
La Union,1st,2024-02-01,54.50,51.00
Laguna,1st,2024-02-01,54.38,47.50
Lanao Del Sur,1st,2024-02-01,58.50,56.75
Lanao del Norte,1st,2024-02-01,52.33,48.17
Leyte,1st,2024-02-01,65.93,51.75
Maguindanao,1st,2024-02-01,48.25,46.75
Marinduque,1st,2024-02-01,49.50,38.00
Masbate,1st,2024-02-01,55.67,53.50
Misamis Occidental,1st,2024-02-01,54.50,51.00
Misamis Oriental,1st,2024-02-01,63.32,50.67
Mountain Province,1st,2024-02-01,58.00,52.50
NCR,1st,2024-02-01,52.37,44.18
Negros Occidental,1st,2024-02-01,56.00,47.00
Negros Oriental,1st,2024-02-01,59.60,54.09
North Cotabato,1st,2024-02-01,55.38,53.13
Northern Samar,1st,2024-02-01,56.42,46.84
Nueva Ecija,1st,2024-02-01,55.25,52.50
Nueva Vizcaya,1st,2024-02-01,50.75,47.50
Occidental Mindoro,1st,2024-02-01,46.50,42.71
Oriental Mindoro,1st,2024-02-01,54.00,50.50
Palawan,1st,2024-02-01,53.54,48.47
Pampanga,1st,2024-02-01,54.70,52.40
Pangasinan,1st,2024-02-01,55.50,48.50
Quezon,1st,2024-02-01,46.00,40.50
Quirino,1st,2024-02-01,55.38,50.75
Rizal,1st,2024-02-01,53.50,51.00
Romblon,1st,2024-02-01,60.17,54.75
Sarangani,1st,2024-02-01,56.67,54.09
Siquijor,1st,2024-02-01,61.43,53.73
Sorsogon,1st,2024-02-01,58.35,54.25
South Cotabato,1st,2024-02-01,53.95,41.90
Southern Leyte,1st,2024-02-01,61.34,57.49
Sultan Kudarat,1st,2024-02-01,52.75,47.75
Sulu,1st,2024-02-01,,
Surigao Del Norte,1st,2024-02-01,51.95,46.25
Surigao Del Sur,1st,2024-02-01,57.60,55.40
Tarlac,1st,2024-02-01,56.00,52.50
Tawi-Tawi,1st,2024-02-01,62.50,57.50
Western Samar,1st,2024-02-01,57.63,55.34
Zambales,1st,2024-02-01,70.13,62.69
Zamboanga Del Norte,1st,2024-02-01,59.55,53.00
Zamboanga Del Sur,1st,2024-02-01,55.90,52.50
Zamboanga Sibugay,1st,2024-02-01,56.67,53.33
Abra,2nd,2024-02-16,50.84,42.50
Agusan Del Norte,2nd,2024-02-16,53.45,44.67
Agusan Del Sur,2nd,2024-02-16,55.13,51.50
Aklan,2nd,2024-02-16,62.00,44.50
Albay,2nd,2024-02-16,56.04,54.13
Antique,2nd,2024-02-16,56.00,52.00
Apayao,2nd,2024-02-16,58.00,56.00
Aurora,2nd,2024-02-16,55.25,55.00
Basilan,2nd,2024-02-16,56.13,55.50
Bataan,2nd,2024-02-16,,46.67
Batanes,2nd,2024-02-16,72.00,
Batangas,2nd,2024-02-16,61.90,66.00
Benguet,2nd,2024-02-16,51.38,41.00
Biliran,2nd,2024-02-16,58.44,55.75
Bohol,2nd,2024-02-16,55.60,52.40
Bukidnon,2nd,2024-02-16,53.00,45.00
Bulacan,2nd,2024-02-16,59.60,49.50
Cagayan,2nd,2024-02-16,54.92,44.50
Camarines Norte,2nd,2024-02-16,58.00,52.00
Camarines Sur,2nd,2024-02-16,54.63,54.32
Camiguin,2nd,2024-02-16,57.59,53.88
Capiz,2nd,2024-02-16,45.50,42.00
Catanduanes,2nd,2024-02-16,53.18,48.80
Cavite,2nd,2024-02-16,52.38,48.91
Cebu,2nd,2024-02-16,60.08,53.63
City Of Isabela,2nd,2024-02-16,,50.38
Davao De Oro,2nd,2024-02-16,,53.75
Davao Del Norte,2nd,2024-02-16,60.35,48.50
Davao Del Sur,2nd,2024-02-16,59.25,58.00
Davao Occidental,2nd,2024-02-16,56.67,53.00
Davao Oriental,2nd,2024-02-16,58.63,54.50
Dinagat Islands,2nd,2024-02-16,58.25,55.42
Eastern Samar,2nd,2024-02-16,51.94,51.63
Guimaras,2nd,2024-02-16,55.50,52.00
Ifugao,2nd,2024-02-16,58.50,51.00
Ilocos Norte,2nd,2024-02-16,52.54,50.00
Ilocos Sur,2nd,2024-02-16,48.50,46.50
Iloilo,2nd,2024-02-16,58.90,35.50
Isabela,2nd,2024-02-16,50.68,42.76
Kalinga,2nd,2024-02-16,54.00,49.00
La Union,2nd,2024-02-16,54.50,51.00
Laguna,2nd,2024-02-16,54.38,47.50
Lanao Del Sur,2nd,2024-02-16,58.50,56.94
Lanao del Norte,2nd,2024-02-16,52.33,48.17
Leyte,2nd,2024-02-16,65.93,51.75
Maguindanao,2nd,2024-02-16,48.25,46.75
Marinduque,2nd,2024-02-16,53.00,40.50
Masbate,2nd,2024-02-16,52.75,52.50
Misamis Occidental,2nd,2024-02-16,54.50,51.00
Misamis Oriental,2nd,2024-02-16,63.32,50.67
Mountain Province,2nd,2024-02-16,58.00,55.00
NCR,2nd,2024-02-16,52.36,44.13
Negros Occidental,2nd,2024-02-16,58.50,51.00
Negros Oriental,2nd,2024-02-16,59.70,54.09
North Cotabato,2nd,2024-02-16,55.38,53.13
Northern Samar,2nd,2024-02-16,56.03,45.92
Nueva Ecija,2nd,2024-02-16,54.25,52.50
Nueva Vizcaya,2nd,2024-02-16,51.75,48.50
Occidental Mindoro,2nd,2024-02-16,50.00,42.71
Oriental Mindoro,2nd,2024-02-16,51.67,50.63
Palawan,2nd,2024-02-16,52.97,48.47
Pampanga,2nd,2024-02-16,54.80,51.60
Pangasinan,2nd,2024-02-16,55.50,48.50
Quezon,2nd,2024-02-16,46.00,40.50
Quirino,2nd,2024-02-16,55.38,49.75
Rizal,2nd,2024-02-16,53.75,51.00
Romblon,2nd,2024-02-16,60.17,54.75
Sarangani,2nd,2024-02-16,56.42,54.17
Siquijor,2nd,2024-02-16,61.70,54.18
Sorsogon,2nd,2024-02-16,57.40,54.50
South Cotabato,2nd,2024-02-16,54.45,42.90
Southern Leyte,2nd,2024-02-16,61.34,57.49
Sultan Kudarat,2nd,2024-02-16,52.75,51.25
Sulu,2nd,2024-02-16,,
Surigao Del Norte,2nd,2024-02-16,56.00,50.25
Surigao Del Sur,2nd,2024-02-16,58.20,56.00
Tarlac,2nd,2024-02-16,53.50,52.00
Tawi-Tawi,2nd,2024-02-16,62.50,57.50
Western Samar,2nd,2024-02-16,54.88,52.63
Zambales,2nd,2024-02-16,70.13,62.69
Zamboanga Del Norte,2nd,2024-02-16,59.55,53.00
Zamboanga Del Sur,2nd,2024-02-16,55.30,52.30
Zamboanga Sibugay,2nd,2024-02-16,56.67,53.25
Abra,1st,2024-03-01,57.50,52.50
Agusan Del Norte,1st,2024-03-01,54.10,45.50
Agusan Del Sur,1st,2024-03-01,54.92,51.17
Aklan,1st,2024-03-01,63.50,47.50
Albay,1st,2024-03-01,56.13,54.25
Antique,1st,2024-03-01,59.00,55.00
Apayao,1st,2024-03-01,54.50,54.00
Aurora,1st,2024-03-01,56.50,51.00
Basilan,1st,2024-03-01,56.42,54.75
Bataan,1st,2024-03-01,66.47,46.21
Batanes,1st,2024-03-01,72.00,
Batangas,1st,2024-03-01,63.90,66.00
Benguet,1st,2024-03-01,51.38,41.00
Biliran,1st,2024-03-01,59.00,56.17
Bohol,1st,2024-03-01,55.30,52.90
Bukidnon,1st,2024-03-01,56.00,45.00
Bulacan,1st,2024-03-01,61.22,49.50
Cagayan,1st,2024-03-01,51.89,41.53
Camarines Norte,1st,2024-03-01,58.13,52.00
Camarines Sur,1st,2024-03-01,55.91,55.61
Camiguin,1st,2024-03-01,,54.84
Capiz,1st,2024-03-01,45.75,42.50
Catanduanes,1st,2024-03-01,56.25,51.55
Cavite,1st,2024-03-01,52.73,49.23
Cebu,1st,2024-03-01,60.08,53.75
City Of Isabela,1st,2024-03-01,59.53,51.10
Davao De Oro,1st,2024-03-01,,53.67
Davao Del Norte,1st,2024-03-01,60.35,48.73
Davao Del Sur,1st,2024-03-01,59.25,56.25
Davao Occidental,1st,2024-03-01,56.67,53.50
Davao Oriental,1st,2024-03-01,56.00,54.50
Dinagat Islands,1st,2024-03-01,58.17,56.33
Eastern Samar,1st,2024-03-01,51.69,51.13
Guimaras,1st,2024-03-01,55.00,52.50
Ifugao,1st,2024-03-01,58.58,51.00
Ilocos Norte,1st,2024-03-01,52.54,50.00
Ilocos Sur,1st,2024-03-01,51.50,48.50
Iloilo,1st,2024-03-01,60.95,35.50
Isabela,1st,2024-03-01,50.46,46.61
Kalinga,1st,2024-03-01,55.50,50.00
La Union,1st,2024-03-01,53.00,51.00
Laguna,1st,2024-03-01,54.38,48.75
Lanao Del Sur,1st,2024-03-01,59.00,57.00
Lanao del Norte,1st,2024-03-01,52.67,48.59
Leyte,1st,2024-03-01,65.81,51.00
Maguindanao,1st,2024-03-01,49.50,47.50
Marinduque,1st,2024-03-01,53.84,40.50
Masbate,1st,2024-03-01,54.50,53.00
Misamis Occidental,1st,2024-03-01,53.50,50.50
Misamis Oriental,1st,2024-03-01,60.32,51.68
Mountain Province,1st,2024-03-01,60.00,56.00
NCR,1st,2024-03-01,52.63,44.23
Negros Occidental,1st,2024-03-01,64.50,51.00
Negros Oriental,1st,2024-03-01,58.98,52.54
North Cotabato,1st,2024-03-01,55.38,53.50
Northern Samar,1st,2024-03-01,55.46,45.90
Nueva Ecija,1st,2024-03-01,54.00,51.51
Nueva Vizcaya,1st,2024-03-01,51.00,48.50
Occidental Mindoro,1st,2024-03-01,57.50,55.04
Oriental Mindoro,1st,2024-03-01,51.67,50.17
Palawan,1st,2024-03-01,51.84,47.64
Pampanga,1st,2024-03-01,54.60,50.70
Pangasinan,1st,2024-03-01,54.50,48.50
Quezon,1st,2024-03-01,48.00,44.00
Quirino,1st,2024-03-01,53.67,44.50
Rizal,1st,2024-03-01,53.75,50.00
Romblon,1st,2024-03-01,63.67,60.13
Sarangani,1st,2024-03-01,56.42,54.17
Siquijor,1st,2024-03-01,61.15,55.54
Sorsogon,1st,2024-03-01,58.50,55.75
South Cotabato,1st,2024-03-01,54.95,43.90
Southern Leyte,1st,2024-03-01,60.95,57.24
Sultan Kudarat,1st,2024-03-01,52.75,51.13
Sulu,1st,2024-03-01,,
Surigao Del Norte,1st,2024-03-01,56.15,50.50
Surigao Del Sur,1st,2024-03-01,58.30,56.10
Tarlac,1st,2024-03-01,53.50,52.00
Tawi-Tawi,1st,2024-03-01,61.50,56.00
Western Samar,1st,2024-03-01,57.00,54.71
Zambales,1st,2024-03-01,70.71,65.69
Zamboanga Del Norte,1st,2024-03-01,60.33,52.75
Zamboanga Del Sur,1st,2024-03-01,56.00,52.40
Zamboanga Sibugay,1st,2024-03-01,56.67,53.33
Abra,2nd,2024-03-16,56.50,50.00
Agusan Del Norte,2nd,2024-03-16,54.33,45.50
Agusan Del Sur,2nd,2024-03-16,54.88,51.00
Aklan,2nd,2024-03-16,63.50,47.00
Albay,2nd,2024-03-16,59.05,57.18
Antique,2nd,2024-03-16,58.00,52.00
Apayao,2nd,2024-03-16,55.00,52.00
Aurora,2nd,2024-03-16,56.50,51.00
Basilan,2nd,2024-03-16,56.00,54.50
Bataan,2nd,2024-03-16,66.47,45.79
Batanes,2nd,2024-03-16,72.00,
Batangas,2nd,2024-03-16,61.90,66.00
Benguet,2nd,2024-03-16,51.38,41.00
Biliran,2nd,2024-03-16,59.00,56.17
Bohol,2nd,2024-03-16,55.30,53.00
Bukidnon,2nd,2024-03-16,54.67,45.00
Bulacan,2nd,2024-03-16,60.80,49.50
Cagayan,2nd,2024-03-16,51.89,41.53
Camarines Norte,2nd,2024-03-16,58.38,52.00
Camarines Sur,2nd,2024-03-16,56.16,55.86
Camiguin,2nd,2024-03-16,56.96,52.75
Capiz,2nd,2024-03-16,46.00,43.67
Catanduanes,2nd,2024-03-16,57.50,53.25
Cavite,2nd,2024-03-16,52.23,48.76
Cebu,2nd,2024-03-16,60.08,53.75
City Of Isabela,2nd,2024-03-16,59.53,51.10
Davao De Oro,2nd,2024-03-16,,53.59
Davao Del Norte,2nd,2024-03-16,59.85,48.73
Davao Del Sur,2nd,2024-03-16,59.00,57.75
Davao Occidental,2nd,2024-03-16,56.50,52.88
Davao Oriental,2nd,2024-03-16,55.63,52.25
Dinagat Islands,2nd,2024-03-16,58.25,55.50
Eastern Samar,2nd,2024-03-16,51.82,51.40
Guimaras,2nd,2024-03-16,56.00,52.50
Ifugao,2nd,2024-03-16,58.58,51.00
Ilocos Norte,2nd,2024-03-16,52.54,50.00
Ilocos Sur,2nd,2024-03-16,51.50,48.50
Iloilo,2nd,2024-03-16,61.38,35.50
Isabela,2nd,2024-03-16,50.30,46.47
Kalinga,2nd,2024-03-16,56.00,50.50
La Union,2nd,2024-03-16,53.00,51.00
Laguna,2nd,2024-03-16,54.38,48.75
Lanao Del Sur,2nd,2024-03-16,59.00,57.00
Lanao del Norte,2nd,2024-03-16,52.84,48.59
Leyte,2nd,2024-03-16,65.81,51.00
Maguindanao,2nd,2024-03-16,51.50,49.00
Marinduque,2nd,2024-03-16,54.70,42.00
Masbate,2nd,2024-03-16,55.75,53.25
Misamis Occidental,2nd,2024-03-16,53.50,50.00
Misamis Oriental,2nd,2024-03-16,60.32,54.67
Mountain Province,2nd,2024-03-16,60.00,56.00
NCR,2nd,2024-03-16,52.63,44.55
Negros Occidental,2nd,2024-03-16,64.50,51.00
Negros Oriental,2nd,2024-03-16,60.70,53.84
North Cotabato,2nd,2024-03-16,55.38,53.34
Northern Samar,2nd,2024-03-16,54.55,44.75
Nueva Ecija,2nd,2024-03-16,53.00,51.02
Nueva Vizcaya,2nd,2024-03-16,51.00,48.50
Occidental Mindoro,2nd,2024-03-16,57.00,56.09
Oriental Mindoro,2nd,2024-03-16,54.42,50.67
Palawan,2nd,2024-03-16,52.46,47.64
Pampanga,2nd,2024-03-16,54.40,50.50
Pangasinan,2nd,2024-03-16,54.50,48.50
Quezon,2nd,2024-03-16,50.00,45.00
Quirino,2nd,2024-03-16,52.67,48.00
Rizal,2nd,2024-03-16,53.75,50.50
Romblon,2nd,2024-03-16,63.34,60.13
Sarangani,2nd,2024-03-16,56.25,54.75
Siquijor,2nd,2024-03-16,61.05,54.65
Sorsogon,2nd,2024-03-16,58.00,55.75
South Cotabato,2nd,2024-03-16,54.45,43.90
Southern Leyte,2nd,2024-03-16,60.95,57.24
Sultan Kudarat,2nd,2024-03-16,52.75,50.63
Sulu,2nd,2024-03-16,,
Surigao Del Norte,2nd,2024-03-16,54.36,48.75
Surigao Del Sur,2nd,2024-03-16,57.30,55.00
Tarlac,2nd,2024-03-16,55.50,51.67
Tawi-Tawi,2nd,2024-03-16,61.50,55.50
Western Samar,2nd,2024-03-16,57.17,53.25
Zambales,2nd,2024-03-16,70.71,65.69
Zamboanga Del Norte,2nd,2024-03-16,60.58,52.75
Zamboanga Del Sur,2nd,2024-03-16,56.20,52.80
Zamboanga Sibugay,2nd,2024-03-16,56.67,53.33
Abra,1st,2024-04-01,56.00,50.00
Agusan Del Norte,1st,2024-04-01,54.10,45.50
Agusan Del Sur,1st,2024-04-01,54.38,51.00
Aklan,1st,2024-04-01,62.50,51.50
Albay,1st,2024-04-01,54.94,54.38
Antique,1st,2024-04-01,58.00,52.00
Apayao,1st,2024-04-01,51.50,50.50
Aurora,1st,2024-04-01,56.50,52.00
Basilan,1st,2024-04-01,56.09,56.81
Bataan,1st,2024-04-01,66.14,45.68
Batanes,1st,2024-04-01,76.00,
Batangas,1st,2024-04-01,63.90,66.00
Benguet,1st,2024-04-01,51.88,41.00
Biliran,1st,2024-04-01,57.13,54.42
Bohol,1st,2024-04-01,54.70,54.60
Bukidnon,1st,2024-04-01,55.75,52.00
Bulacan,1st,2024-04-01,58.84,50.00
Cagayan,1st,2024-04-01,53.45,41.27
Camarines Norte,1st,2024-04-01,56.88,50.00
Camarines Sur,1st,2024-04-01,56.16,55.86
Camiguin,1st,2024-04-01,57.09,53.09
Capiz,1st,2024-04-01,48.50,45.00
Catanduanes,1st,2024-04-01,56.25,51.55
Cavite,1st,2024-04-01,52.75,49.71
Cebu,1st,2024-04-01,59.20,53.75
City Of Isabela,1st,2024-04-01,59.89,51.52
Davao De Oro,1st,2024-04-01,,53.38
Davao Del Norte,1st,2024-04-01,59.95,48.73
Davao Del Sur,1st,2024-04-01,59.75,56.75
Davao Occidental,1st,2024-04-01,56.67,53.75
Davao Oriental,1st,2024-04-01,55.50,51.50
Dinagat Islands,1st,2024-04-01,57.75,54.12
Eastern Samar,1st,2024-04-01,52.94,51.17
Guimaras,1st,2024-04-01,55.25,53.00
Ifugao,1st,2024-04-01,58.98,51.00
Ilocos Norte,1st,2024-04-01,55.04,52.00
Ilocos Sur,1st,2024-04-01,54.00,50.17
Iloilo,1st,2024-04-01,63.00,36.00
Isabela,1st,2024-04-01,50.30,46.47
Kalinga,1st,2024-04-01,56.00,51.00
La Union,1st,2024-04-01,54.00,51.00
Laguna,1st,2024-04-01,54.38,49.00
Lanao Del Sur,1st,2024-04-01,59.34,57.50
Lanao del Norte,1st,2024-04-01,52.84,48.50
Leyte,1st,2024-04-01,65.68,51.84
Maguindanao,1st,2024-04-01,50.75,48.50
Marinduque,1st,2024-04-01,54.75,42.00
Masbate,1st,2024-04-01,58.75,53.25
Misamis Occidental,1st,2024-04-01,53.00,49.50
Misamis Oriental,1st,2024-04-01,60.32,54.67
Mountain Province,1st,2024-04-01,60.00,55.00
NCR,1st,2024-04-01,52.90,45.03
Negros Occidental,1st,2024-04-01,65.00,52.00
Negros Oriental,1st,2024-04-01,59.70,54.09
North Cotabato,1st,2024-04-01,55.38,53.13
